Page URL,Content,Post media content,Author,Author URL,Reactions,Comments,Reposts,ID
https://www.facebook.com/groups/696166321250526,,,,,,,,1
https://www.facebook.com/groups/696166321250526,"Så er Bent sendt ud i verden. Hvad så, der kigges og ledes i reolerne efter noget afledning. Og Lars kommer jo til Frederikssund så kan vel finde nogle spørgsmå… Se mere",https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/464196772_10234021180372492_2075914247042336637_n.jpg?stp=dst-jpg_s1080x2048&_nc_cat=102&ccb=1-7&_nc_sid=127cfc&_nc_ohc=r52Xpt7imtoQ7kNvgF9m45i&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=Asc54edXxWwlY8udVgNYFmg&oh=00_AYDLPzhDOYB0pazDZ8psNhEz2J_X78DXMA-eputVxDEjZA&oe=671D3573,Peter Thinghøj Christiansen,"https://www.facebook.com/profile.php?id=1275590436&__cft__[0]=AZUjYfLafnCXOzx0xkikh25_HdLk7Ytad-Wm_QShFb-orGB2WsTWBcydf4G6V9XNvcdBSKyyCvvBwyiohb60cUe_1yweRPtlCcXnolk5L9x3AnVOcdQq1Z0ah-_R-ztVOBZAYA2_D7NVHN4qMBNEPknCgEl6nec4EZyatUVNvHGH0qY29VsSNTyivQBAsu3Kys882eh95QyPEVJxSsIy5MejTd6XDKoYbx7zEObuTDfjzA&__tn__=%3C%2CP-y-R, https://www.facebook.com/groups/696166321250526/user/1275590436/?__cft__[0]=AZUjYfLafnCXOzx0xkikh25_HdLk7Ytad-Wm_QShFb-orGB2WsTWBcydf4G6V9XNvcdBSKyyCvvBwyiohb60cUe_1yweRPtlCcXnolk5L9x3AnVOcdQq1Z0ah-_R-ztVOBZAYA2_D7NVHN4qMBNEPknCgEl6nec4EZyatUVNvHGH0qY29VsSNTyivQBAsu3Kys882eh95QyPEVJxSsIy5MejTd6XDKoYbx7zEObuTDfjzA&__tn__=%3C%3C%2CP-y-R ",2,,,2
https://www.facebook.com/groups/696166321250526,Citronen var gift med Bodil Haagen Schmidt der jf. dette kort fra Rigsarkivet flygtede til Sverige den 20. juli 1944. Allerede få dage efter ankomsten til Sver… Se mere,https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/462742252_10235345438356271_1128635215000718054_n.jpg?stp=cp6_dst-jpg&_nc_cat=108&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=LAjLYK8g_GcQ7kNvgHhDcFf&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=AktN4jvJcH-z8mjhwG3XlNJ&oh=00_AYBd77jcH07AKgYvg1JYs9CRmByVzG3322w0J5-Ah1jPzQ&oe=671D4310,,,8,,,7
https://www.facebook.com/groups/696166321250526,Så er bogen kommet fra tryk og er klar til udgivelsen den 18. oktober. Netop på 80 året for Flammens alt for tidlige død Historien om Flammen skal skrives om … Se mere,https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/462556044_10235309958709302_4744178456076617749_n.jpg?stp=cp6_dst-jpg_s1080x2048&_nc_cat=107&ccb=1-7&_nc_sid=aa7b47&_nc_ohc=dj4_Rq-u8RoQ7kNvgG5oiGZ&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=AjB_US528J20Uxrouj36wy-&oh=00_AYB1SJRkkWBx6trtiY8g9U2WWmSw9QhN3VAN9-EjqR8t1w&oe=671D33E3,Knud B. Nielsen,https://www.facebook.com/groups/696166321250526/user/826979113/?__cft__[0]=AZWSwmXEn9BamYz-5baXSgYEEZMFaMEHaYpGLE5A1tzTRK1jglTDcYkY-_l-JyaVQ60yGbY9tbKf1Ry2NcK5JnQvPHzeNgJsDyGJwhgntelWvamGGsaorC3JSmWwdWsI6JIr4iJ3tAMzoF49OYVzgcH27UmA8_BWz_kFrIu3X4L-RpaLGWnDCYDlg_-8pcy-7gldw9MxCLuMmDr4xMK58ocxNQpNWFJT5e98O3yBAshEU1bhLrxZ7q6wIQOkqlU66iADgHDie7McOrFib33Eq77O&__tn__=R-R,59,11 kommentarer,11 kommentarer,8
https://www.facebook.com/groups/696166321250526,#kulturnatten i Stjerne Radio byder på foredrag om modstandsbevægelsen Holger Danskes aktiviteter - nu taler Peter Birkelund og nåede du ikke foredraget kl 19:00 er der fortsat pladser kl 21:00,,Stjerne Radio,https://www.facebook.com/groups/696166321250526/user/100063679503165/?__cft__[0]=AZVX7-josIOl5Tw4WeL2pifOjHZwvBquzRuGCFH_25B3-28za4-H-HZBdgC-zZ8lxJluI27M-FtoTZGahEAa79mnngr8DBNGZmr3maj43Kjbx_idwxMJtLqzcQSGz5MBWIvvkiKxptSyrTSEkb3Ns4qwIOo0_nxc4Pun_12MnJUEPaUtw8Vk0BYx0d2wuFMLIJzqOCeKvrotptKDxMAGRcmA&__tn__=-]K-R,5,,,9
https://www.facebook.com/groups/696166321250526,https://www.basti.dk/da-DK/inventories/11265?catNav=1Spændende lot,,,,4,,,10
https://www.facebook.com/groups/696166321250526,Jeg skal på besøg nede i Sønderborg er der nogen der har nogle gode ideer hvad man skulle besøge hvis det var,,Annelise Jørgensen,https://www.facebook.com/groups/696166321250526/user/100090226249785/?__cft__[0]=AZULLm3GYkIx3x1TXQumsTUaEQCtb7FVmoCWsUVGUP6Kxe-2PC3ZlZC2XcRc0PVNXmt40UHkpInO3gR-K00-YDJxqPNi7jZ-hb6-_55jegaj10pyZ_iAT5lop6t-oDolyo2pETUD5wAqN1y5GIKbybBThba6UgwXDhBv-M4cdYVHRJl_tifooXS4VNMG3rtOgKk&__tn__=R-R,3,5 kommentarer,5 kommentarer,12
https://www.facebook.com/groups/696166321250526,"NON-FICTION, DER VIL ÆNDRE HISTORIEN.Jeg har fulgt tilblivelsen af den her dokumentariske bog fra Martin Qvist Magnussen med voksende interesse.Baggrunden f… Se mere",https://scontent-arn2-1.xx.fbcdn.net/v/t39.30808-6/461874528_10161905563612290_5432578849764719137_n.jpg?stp=dst-jpg_s1080x2048&_nc_cat=105&ccb=1-7&_nc_sid=833d8c&_nc_ohc=w-zPzimvhBQQ7kNvgHhvMmI&_nc_zt=23&_nc_ht=scontent-arn2-1.xx&_nc_gid=Ashr8i41Up8n9cKJ8aumcXN&oh=00_AYB-fNv8wl3O9AwYkTwMVqTZaeYPrMgyofNRoA1R7dKiBg&oe=671D3A7F,Peter Thinghøj Christiansen,https://www.facebook.com/groups/883336033737128/user/1275590436/?__cft__[0]=AZXFoltiZuNgu29ynjW3Zx8mOBxRYVP46gKbGp-XxVrUqWWhUQ4GJlKDAe4XFK1wePX5N9HJO5dFn2BPrPb2xYLEf1_1eiybAHk-MU3zVNNVeeNWkmHNPrcAPFK0-iKgGSNF5IgUHG4gCv80a7_68KU4opuk3W4wcbvT9uXSaLiNUpSBNozoUCeWHQNTRdoJbKB4DgjdJ-DZVtbU6fdAEp_ZuO3gmQtFFw9cpwOyL1o1iQrWD0uv71OuHZrqoLFvpc0csH3p9D2t4uiWNSWHGzUX&__tn__=-UC%2CP-y-R,5,,,13
https://www.facebook.com/groups/696166321250526,"3. og sidste afsnit ""Bag pigtråd - Gestapos fanger"" vises i aften på DR2 kl. 18.10. God fornøjelse",,,,14,,,15
https://www.facebook.com/groups/696166321250526,Levende billeder af Flammen og de nærmeste venner. Kilde: Frihedsmuseet,,,,40,,,16
